Seg2File,Mw
27109.16.11.01.01.49.00.dat,-0.41
27115.16.11.01.01.55.00.dat,-0.29
27118.16.11.01.01.58.00.dat,0.75
27124.16.11.01.02.04.00.dat,0.66
27128.16.11.01.02.08.00.dat,-0.1
27132.16.11.01.02.12.00.dat,0.74
27141.16.11.01.02.21.00.dat,0.78
27150.16.11.01.02.30.00.dat,0.66
27152.16.11.01.02.32.00.dat,-0.12
27156.16.11.01.02.36.00.dat,-0.29
27160.16.11.01.02.40.00.dat,0.78
27169.16.11.01.02.49.00.dat,0.67
27173.16.11.01.02.53.00.dat,0.05
27181.16.11.01.03.01.00.dat,0.73
27189.16.11.01.03.09.00.dat,0.05
27192.16.11.01.03.12.00.dat,0.71
27200.16.11.01.03.20.00.dat,0.61
27211.16.11.01.03.31.00.dat,-0.21
27212.16.11.01.03.32.00.dat,-0.02
27217.16.11.01.03.37.00.dat,0.85
27222.16.11.01.03.42.00.dat,-0.21
27226.16.11.01.03.46.00.dat,-0.25
27229.16.11.01.03.49.00.dat,0.01
27231.16.11.01.03.51.00.dat,0.66
27245.16.11.01.04.05.00.dat,0.63
27257.16.11.01.04.17.00.dat,0.63
27268.16.11.01.04.28.00.dat,0.08
27270.16.11.01.04.30.00.dat,0.6
27282.16.11.01.04.42.00.dat,-0.11
27285.16.11.01.04.45.00.dat,0.7
27294.16.11.01.04.54.00.dat,0.6
27296.16.11.01.04.56.00.dat,-0.42
27305.16.11.01.05.05.00.dat,0.54
27311.16.11.01.05.11.00.dat,-0.54
27312.16.11.01.05.12.00.dat,0.19
27327.16.11.01.05.27.00.dat,0.24
27328.16.11.01.05.28.00.dat,-0.37
27334.16.11.01.05.34.00.dat,0.43
27341.16.11.01.05.41.00.dat,-0.26
27343.16.11.01.05.43.00.dat,-0.49
27351.16.11.01.05.51.00.dat,-0.15
27356.16.11.01.05.56.00.dat,-0.25
27359.16.11.01.05.59.00.dat,0.34
27379.16.11.01.06.19.00.dat,-0.2
27385.16.11.01.06.25.00.dat,-0.01
27405.16.11.01.06.45.00.dat,0.23
27411.16.11.01.06.51.00.dat,-0.16
27428.16.11.01.07.08.00.dat,0.05
27431.16.11.01.07.11.00.dat,-0.29
27436.16.11.01.07.16.00.dat,-0.08
27438.16.11.01.07.18.00.dat,-0.15
27439.16.11.01.07.19.00.dat,-0.02
27441.16.11.01.07.21.00.dat,-0.22
27443.16.11.01.07.23.00.dat,0.11
27445.16.11.01.07.25.00.dat,-0.4
27464.16.11.01.07.44.00.dat,-0.13
27472.16.11.01.07.52.00.dat,0.18
27477.16.11.01.07.57.00.dat,-0.21
27485.16.11.01.08.05.00.dat,-0.22
27490.16.11.01.08.10.00.dat,-0.19
27501.16.11.01.08.21.00.dat,-0.25
27505.16.11.01.08.25.00.dat,0.05
27506.16.11.01.08.26.00.dat,-0.35
27508.16.11.01.08.28.00.dat,-0.19
27514.16.11.01.08.34.00.dat,0.06
27516.16.11.01.08.36.00.dat,-0.28
27524.16.11.01.08.44.00.dat,-0.11
27529.16.11.01.08.49.00.dat,-0.26
27530.16.11.01.08.50.00.dat,-0.24
27535.16.11.01.08.55.00.dat,-0.04
27537.16.11.01.08.57.00.dat,-0.03
27538.16.11.01.08.58.00.dat,-0.39
27541.16.11.01.09.01.00.dat,-0.29
27544.16.11.01.09.04.00.dat,-0.28
27545.16.11.01.09.05.00.dat,0.12
27546.16.11.01.09.06.00.dat,-0.28
27549.16.11.01.09.09.00.dat,-0.32
27553.16.11.01.09.13.00.dat,-0.11
27555.16.11.01.09.15.00.dat,0.26
27557.16.11.01.09.17.00.dat,-0.2
27559.16.11.01.09.19.00.dat,-0.03
27562.16.11.01.09.22.00.dat,-0.3
27564.16.11.01.09.24.00.dat,0.27
27567.16.11.01.09.27.00.dat,-0.27
27568.16.11.01.09.28.00.dat,-0.06
27569.16.11.01.09.29.00.dat,-0.33
27571.16.11.01.09.31.00.dat,-0.13
27572.16.11.01.09.32.00.dat,-0.1
27576.16.11.01.09.36.00.dat,0.26
27579.16.11.01.09.39.00.dat,-0.21
27580.16.11.01.09.40.00.dat,-0.34
27582.16.11.01.09.42.00.dat,0.07
27583.16.11.01.09.43.00.dat,0.18
27584.16.11.01.09.44.00.dat,-0.25
27585.16.11.01.09.45.00.dat,0.42
27590.16.11.01.09.50.00.dat,0.12
27592.16.11.01.09.52.00.dat,-0.57
27596.16.11.01.09.56.00.dat,-0.13
27597.16.11.01.09.57.00.dat,-0.03
27600.16.11.01.10.00.00.dat,-0.83
27601.16.11.01.10.01.00.dat,0.23
27603.16.11.01.10.03.00.dat,-0.23
27607.16.11.01.10.07.00.dat,0.09
27609.16.11.01.10.09.00.dat,0.08
27622.16.11.01.10.22.00.dat,0.19
27628.16.11.01.10.28.00.dat,0.39
27632.16.11.01.10.32.00.dat,-0.15
27637.16.11.01.10.37.00.dat,0.07
27641.16.11.01.10.41.00.dat,-0.15
27648.16.11.01.10.48.00.dat,0.47
27657.16.11.01.10.57.00.dat,0.08
27658.16.11.01.10.58.00.dat,-0.27
27663.16.11.01.11.03.00.dat,0.37
27667.16.11.01.11.07.00.dat,0.28
27672.16.11.01.11.12.00.dat,-0.42
27674.16.11.01.11.14.00.dat,0.21
27678.16.11.01.11.18.00.dat,-0.21
27684.16.11.01.11.24.00.dat,-0.22
27689.16.11.01.11.29.00.dat,0.13
27697.16.11.01.11.37.00.dat,-0.2
27699.16.11.01.11.39.00.dat,-0.14
27703.16.11.01.11.43.00.dat,-0.4
27704.16.11.01.11.44.00.dat,0.46
27708.16.11.01.11.48.00.dat,-0.25
27710.16.11.01.11.50.00.dat,-0.42
27714.16.11.01.11.54.00.dat,-0.08
27716.16.11.01.11.56.00.dat,-0.36
27719.16.11.01.11.59.00.dat,0.18
27720.16.11.01.12.00.00.dat,-0.23
27721.16.11.01.12.01.00.dat,-0.39
27723.16.11.01.12.03.00.dat,-0.23
27725.16.11.01.12.05.00.dat,-0.06
27726.16.11.01.12.06.00.dat,-0.29
27727.16.11.01.12.07.00.dat,-0.2
27728.16.11.01.12.08.00.dat,-0.25
27729.16.11.01.12.09.00.dat,-0.15
27730.16.11.01.12.10.00.dat,-0.35
