X,Y,PP Time (ms),PP Time Error  (ms),Depth (m),Depth Error (m),Month,Day,Hour ,Minute
484682.23,6023151.57,1998.961969,12.58325549,3496.293225,37.72019041,10,29,23,21
484504.73,6022968.05,1967.166207,24.3549415,3419.182464,54.67840817,10,29,23,29
484457.58,6023028.17,1929.041421,65.91476817,3331.232907,153.1806136,10,29,23,59
484593.48,6022980.71,2026.374945,21.1798286,3578.897106,58.20618011,10,30,0,30
484599.02,6022968.05,1988.834003,13.1756936,3467.401941,38.3798938,10,30,0,31
484579.61,6022952.23,2022.892922,31.77392151,3568.389664,88.93900096,10,30,0,31
484493.63,6022987.04,1989.439208,11.29954149,3468.785803,32.96099006,10,30,1,34
484515.82,6023006.02,1975.011231,20.43189475,3436.082074,49.5804288,10,30,1,35
484549.1,6022974.38,2018.346101,22.04213937,3554.422616,62.30040829,10,30,2,26
484504.73,6022949.07,1989.689882,10.09098916,3469.383153,29.33675803,10,30,2,27
484499.18,6022980.71,1972.941953,21.86979333,3431.657134,52.341041,10,30,3,7
484460.35,6022968.05,1973.932302,25.09392168,3433.779394,62.69392171,10,30,3,7
484499.18,6023018.68,1976.674963,19.13810026,3439.515834,47.23905193,10,30,3,45
484504.73,6022955.4,1956.800544,35.29444742,3396.571667,79.06580703,10,30,4,7
484610.12,6022980.71,1915.842299,73.36263247,3301.68927,166.5414119,10,30,4,8
484493.63,6022974.38,1960.376221,29.32278197,3404.37934,65.02518603,10,30,4,8
484576.84,6023018.68,2005.769252,17.50578872,3517.365849,52.26335507,10,30,4,8
484504.73,6022974.38,1937.536937,44.44303243,3352.361708,98.44404261,10,30,5,6
484493.63,6023006.02,1959.830731,42.48996628,3403.204685,103.4892686,10,30,5,22
484504.73,6022999.7,1960.387587,29.27212509,3404.403574,64.90817042,10,30,6,52
484576.84,6023050.32,1993.299234,14.3425227,3479.391356,43.42357315,10,30,6,54
484515.82,6023012.35,1945.780165,41.29706759,3372.056345,90.20687423,10,30,7,3
484510.27,6023018.68,1957.727037,33.57658637,3398.453726,74.73170316,10,30,7,12
484671.13,6023126.26,1989.297666,10.31179052,3468.447854,29.71984236,10,30,7,58
484671.13,6023107.27,1990.922619,9.234357349,3471.976458,27.87469723,10,30,7,59
484499.18,6022955.4,1960.401845,45.48073279,3404.433783,113.2865862,10,30,8,13
484515.82,6022961.73,1966.410831,26.26232279,3417.475486,59.96936255,10,30,8,13
484521.37,6022974.38,1965.879097,25.36955498,3416.270737,56.74344512,10,30,8,40
484510.27,6022999.7,1968.941524,22.81673705,3422.837602,51.75889388,10,30,8,40
484526.91,6022987.04,1960.468942,29.91356999,3404.575936,66.19938126,10,30,8,41
484493.63,6022987.04,1971.446892,24.40820745,3428.29717,58.58907978,10,30,8,41
484610.12,6023031.34,2000.506512,13.87687843,3500.978676,41.16026605,10,30,9,38
484496.41,6022945.91,1955.935656,32.16534721,3394.797605,70.4596337,10,30,9,40
484476.99,6022987.04,1944.925278,44.54927029,3369.938728,98.93197733,10,30,9,47
484460.35,6022936.41,1966.735864,31.50419713,3418.22959,75.78632564,10,30,9,47
484610.12,6023012.35,1982.396464,13.60896354,3451.689143,35.65942709,10,30,10,7
484593.48,6022942.74,1994.204754,17.13489868,3482.21266,51.20290994,10,30,11,22
484593.48,6022968.05,1991.955766,13.21263082,3475.206076,40.42443181,10,30,11,23
484521.37,6022961.73,1986.520418,13.53756983,3460.828035,38.72632692,10,30,11,25
484513.05,6022964.89,1991.127373,12.26846052,3472.628118,37.50787316,10,30,11,25
484513.05,6022964.89,1963.546227,26.81850613,3411.270068,59.47039021,10,30,13,20
484593.48,6022968.05,1990.737843,12.56355267,3471.477451,38.34712401,10,30,13,47
484488.09,6022974.38,1964.446758,27.68291693,3413.121677,62.62418272,10,30,14,48
484488.09,6022974.38,1961.641524,28.51215824,3407.131937,63.19470067,10,30,14,49
484488.09,6022974.38,1972.410484,22.03872286,3430.459942,52.48484371,10,30,14,49
484482.54,6022942.74,1985.878576,13.88045386,3459.381762,39.27042319,10,30,14,56
484590.7,6022990.2,1961.258221,30.04655157,3406.313728,66.87528214,10,30,15,23
484590.7,6023015.52,1993.889836,11.42511537,3481.247151,34.84923161,10,30,15,23
484499.18,6022955.4,1941.288009,37.38269804,3361.16893,82.5982108,10,30,16,19
484623.98,6023002.86,1991.223264,12.19034041,3472.933959,37.2610725,10,30,16,19
